id,tvätt,valtyp,valsedelsuppgift
208846,studerande,K,"25, Student, Björnkärret"
208848,studerande,K,"18, Student, Hästhagen"
208857,studerande,K,"19, Student, Gustavsbergs hamn"
25475,studerande,K,"24, Student, Gustavsberg"
25478,studerande,K,"21, Student, Ingarö"
246463,studerande,K,"Student, Jakobsberg"
20220,studerande,K,"24, Student"
92313,studerande,K,"22, Student, Älvnäs"
96787,studerande,K,"24, Student, Flemingsberg"
162451,studerande,K,"30, Student, Fullersta"
17766,studerande,K,"21, Student, Huddinge C"
17772,studerande,K,"20, Student, Flemingsberg"
17777,studerande,K,"27, Student, Huddinge C"
17784,studerande,K,"20, Student, Snättringe"
17787,studerande,K,"23, Student, Visättra"
145726,studerande,K,"Student, Uttran"
278497,studerande,K,"24 år, student, Norsborg"
278498,studerande,K,"24 år, student, Tumba"
278508,studerande,K,"24 år, student, Tullinge"
162119,studerande,K,"25, Student, Brandbergen"
162119,studerande,K,"25, Student, Brandbergen"
162120,studerande,K,"19, Student, Norrby"
162120,studerande,K,"19, Student, Norrby"
107079,studerande,K,"32, Student, Handen"
107079,studerande,K,"32, Student, Handen"
107086,studerande,K,"20, Student, Vega"
107086,studerande,K,"20, Student, Vega"
127671,studerande,K,"18 år, student, Söderby"
127671,studerande,K,"18 år, student, Söderby"
182451,studerande,K,Student
182451,studerande,K,Student
22874,studerande,K,"38, Student, Brevikshalvön"
23398,studerande,K,"18, Student, Brevikshalvön"
23404,studerande,K,"18, Student, Brevikshalvön"
23410,studerande,K,"21, Student, Tyresö Strand"
260704,studerande,K,"Student, Kungsängen"
67213,studerande,K,"Student, 23"
67213,studerande,K,"Student, 23"
164166,studerande,K,"20, Student"
164166,studerande,K,"20, Student"
15029,studerande,K,"Student, Ella Park, 19 år"
15029,studerande,K,"Student, Ella Park, 19 år"
94761,studerande,K,"21, Student, Näsbypark"
94761,studerande,K,"21, Student, Näsbypark"
186717,studerande,K,"Student, Djursholm"
17681,studerande,K,"22, Student"
17697,studerande,K,"22, Student"
17708,studerande,K,"22, Student"
139820,studerande,K,"Student, Tureberg, 24 år"
139833,studerande,K,"Student, Skälby, 21 år"
20643,studerande,K,"18, Student"
20659,studerande,K,"27, Student"
20680,studerande,K,"22, Student"
212909,studerande,K,"27 år, student, Östermalm"
212909,studerande,K,"27 år, student, Östermalm"
212909,studerande,K,"27 år, student, Östermalm"
212909,studerande,K,"27 år, student, Östermalm"
212909,studerande,K,"27 år, student, Östermalm"
212909,studerande,K,"27 år, student, Östermalm"
212910,studerande,K,"19 år, student, Västertorp"
212910,studerande,K,"19 år, student, Västertorp"
212910,studerande,K,"19 år, student, Västertorp"
212910,studerande,K,"19 år, student, Västertorp"
212910,studerande,K,"19 år, student, Västertorp"
212910,studerande,K,"19 år, student, Västertorp"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
312922,studerande,K,"21, Student, Bromma"
313937,studerande,K,"18, Student, Stockholm"
313937,studerande,K,"18, Student, Stockholm"
313937,studerande,K,"18, Studen, Stockholm"
313937,studerande,K,"18, Student, Stockholm"
313937,studerande,K,"18, Student, Stockholm"
313937,studerande,K,"18, Student, Stockholm"
313937,studerande,K,"18, Student, Stockholm"
313937,studerande,K,"18, Studen, Stockholm"
313937,studerande,K,"18, Student, Stockholm"
313937,studerande,K,"18, Student, Stockholm"
313937,studerande,K,"18, Student, Stockholm"
313937,studerande,K,"18, Student, Stockholm"
313937,studerande,K,"18, Studen, Stockholm"
313937,studerande,K,"18, Student, Stockholm"
313937,studerande,K,"18, Student, Stockholm"
313937,studerande,K,"18, Student, Stockholm"
313937,studerande,K,"18, Student, Stockholm"
313937,studerande,K,"18, Studen, Stockholm"
313937,studerande,K,"18, Student, Stockholm"
313937,studerande,K,"18, Student, Stockholm"
313937,studerande,K,"18, Student, Stockholm"
313937,studerande,K,"18, Student, Stockholm"
313937,studerande,K,"18, Studen, Stockholm"
313937,studerande,K,"18, Student, Stockholm"
313937,studerande,K,"18, Student, Stockholm"
313937,studerande,K,"18, Student, Stockholm"
313937,studerande,K,"18, Student, Stockholm"
313937,studerande,K,"18, Studen, Stockholm"
313937,studerande,K,"18, Student, Stockholm"
313937,studerande,K,"18, Student, Stockholm"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
313951,studerande,K,"26, Student, Spånga"
103086,studerande,K,"26, student, Södermalm"
103086,studerande,K,"26, student, Södermalm"
103086,studerande,K,"26, student, Södermalm"
103086,studerande,K,"26, student, Södermalm"
103086,studerande,K,"26, student, Södermalm"
103086,studerande,K,"26, student, Södermalm"
103086,studerande,K,"26, student, Södermalm"
103086,studerande,K,"26, student, Södermalm"
103086,studerande,K,"26, student, Södermalm"
103086,studerande,K,"26, student, Södermalm"
103086,studerande,K,"26, student, Södermalm"
103086,studerande,K,"26, student, Södermalm"
103086,studerande,K,"26, student, Södermalm"
103086,studerande,K,"26, student, Södermalm"
103086,studerande,K,"26, student, Södermalm"
103086,studerande,K,"26, student, Södermalm"
103086,studerande,K,"26, student, Södermalm"
103086,studerande,K,"26, student, Södermalm"
104345,studerande,K,"29, student, Skarpnäck"
104345,studerande,K,"29, student, Skarpnäck"
104345,studerande,K,"29, student, Skarpnäck"
104345,studerande,K,"29, student, Skarpnäck"
104345,studerande,K,"29, student, Skarpnäck"
104345,studerande,K,"29, student, Skarpnäck"
20458,studerande,K,"23, Student"
20458,studerande,K,"23, Student"
20458,studerande,K,"23, Student"
20458,studerande,K,"23, Student"
20458,studerande,K,"23, Student"
20458,studerande,K,"23, Student"
20459,studerande,K,"21, Student"
20459,studerande,K,"21, Student"
20459,studerande,K,"21, Student"
20459,studerande,K,"21, Student"
20459,studerande,K,"21, Student"
20459,studerande,K,"21, Student"
20485,studerande,K,"20, Student"
20485,studerande,K,"20, Student"
20485,studerande,K,"20, Student"
20485,studerande,K,"20, Student"
20485,studerande,K,"20, Student"
20485,studerande,K,"20, Student"
194384,studerande,K,"Student, Geneta, 20"
194421,studerande,K,"Student, Geneta, 21"
194437,studerande,K,"Student, Hovsjö, 18"
118552,studerande,K,"student, Järna, 18 år"
155973,studerande,K,"23, Student"
20602,studerande,K,Student
120812,studerande,K,"20 år, Student, Fisksätra"
120812,studerande,K,"20 år, Student, Fisksätra"
156834,studerande,K,"26, Student"
111583,studerande,K,"27 år, Student, Råsunda"
111596,studerande,K,"21 år, Student, Huvudsta"
211821,studerande,K,"24 år, student, Huvudsta"
97088,studerande,K,"18, Student, Gåshaga"
148262,studerande,K,"22, Student, Skärsätra"
147999,studerande,K,"37, Student, Käppala"
12805,studerande,K,"21, Student, Sticklinge"
12805,studerande,K,"21, Student, Sticklinge"
13047,studerande,K,"21, Student, Bodal"
13047,studerande,K,"21, Student, Bodal"
108390,studerande,K,"25, Student, Norrtälje"
317511,studerande,K,"46, Sigtuna"
317511,studerande,K,"46, Student, Sigtuna"
317516,studerande,K,"18, Sigtuna"
317516,studerande,K,"18, Student, Sigtuna"
317517,studerande,K,"18, Valsta"
317517,studerande,K,"20, Student, Valsta"
317555,studerande,K,"28, Märsta"
317555,studerande,K,"28, Student, Märsta"
25461,studerande,K,"49, Student"
113756,studerande,K,"28, Student, Nynäshamn"
53994,studerande,K,"student, Älvkarleby, 20 år"
138094,studerande,K,"21 år, student, Tierp"
165686,studerande,K,"33 år, student, Kvarngärdet"
159114,studerande,K,"19 år, student, Kungsängen"
53289,studerande,K,"student, 23 år"
382655,studerande,K,"Student, 18 år, Sunnersta"
385065,studerande,K,"Student, 31 år, Centrum"
132916,studerande,K,"25 år, Student, Uppsala"
136077,studerande,K,"18, student, Funbo"
136093,studerande,K,"25, student, Kvarngärdet"
136099,studerande,K,"48, student, Gränby"
81377,studerande,K,"31 år, Student"
133566,studerande,K,"33 år, Student, Enköping"
133936,studerande,K,"21 år, Student, Tillinge"
138054,studerande,K,"26, student, Ekolsund"
132930,studerande,K,"Student, Östhammar"
138326,studerande,K,"22, student, Öregrund"
166877,studerande,K,"21, student, Nyköping"
166877,studerande,K,"21, student, Nyköping"
166877,studerande,K,"21, student, Nyköping"
116154,studerande,K,"23, Student"
116154,studerande,K,"23, Student"
71406,studerande,K,"student, 31 år, Valdemarsvik"
251241,studerande,K,"Student, 30 år, Ryd"
251241,studerande,K,"Student, 30 år, Ryd"
251241,studerande,K,"Student, 30 år, Ryd"
251263,studerande,K,"Student, 23 år, T1"
251263,studerande,K,"Student, 23 år, T1"
251263,studerande,K,"Student, 23 år, T1"
420736,studerande,K,"22 år, Student"
420736,studerande,K,"22 år, Student"
420736,studerande,K,"22 år, Student"
12452,studerande,K,"22 år, Student"
12452,studerande,K,"22 år, Student"
12452,studerande,K,"22 år, Student"
58718,studerande,K,"19, Student,  Ryd"
58718,studerande,K,"19, Student,  Ryd"
58718,studerande,K,"19, Student,  Ryd"
58740,studerande,K,"23, Student, Skäggetorp"
58740,studerande,K,"23, Student, Skäggetorp"
58740,studerande,K,"23, Student, Skäggetorp"
189268,studerande,K,"student, 20 år"
189268,studerande,K,"student, 20 år"
247817,studerande,K,"Student, 31 år"
247817,studerande,K,"Student, 31 år"
247469,studerande,K,"Student, 21 år"
247469,studerande,K,"Student, 21 år"
248985,studerande,K,"student, Borenshult"
103167,studerande,K,"19, Student, Klockrike"
200609,studerande,K,"18, Student, Habo"
37162,studerande,K,"18 år,Student,Jönköping"
37162,studerande,K,"18 år,Student,Jönköping"
37162,studerande,K,"18 år,Student,Jönköping"
37164,studerande,K,"23 år,Student,Jönköping"
37164,studerande,K,"23 år,Student,Jönköping"
37164,studerande,K,"23 år,Student,Jönköping"
37372,studerande,K,"19 år,Student,Gränna"
37372,studerande,K,"19 år,Student,Gränna"
37372,studerande,K,"19 år,Student,Gränna"
37371,studerande,K,"18 år,Student,Huskvarna"
37371,studerande,K,"18 år,Student,Huskvarna"
37371,studerande,K,"18 år,Student,Huskvarna"
77891,studerande,K,"Student, Torpa"
77891,studerande,K,"Student, Torpa"
77891,studerande,K,"Student, Torpa"
223291,studerande,K,"Student, Jönköping"
223291,studerande,K,"Student, Jönköping"
223291,studerande,K,"Student, Jönköping"
83171,studerande,K,"21 år,Student,Värnamo"
374805,studerande,K,"31 år, Student, Vetlanda"
68879,studerande,K,"19 år, Student, Nävelsjö"
35766,studerande,K,"23 år,Student, Kolshester"
35803,studerande,K,"19 år,Student, Eksjö"
35804,studerande,K,"22 år,Student, Eksjö"
375062,studerande,K,"32 år, student, Tranås"
360265,studerande,K,Student
227568,studerande,K,"41, student, Grimslöv"
354607,studerande,K,"Student, Strömsnäsbruk"
231804,studerande,K,"student, 24, Campus"
231816,studerande,K,"student, 22, Campus"
231825,studerande,K,"student, 20, Teleborg"
231828,studerande,K,"student, 26, Araby"
231831,studerande,K,"student, 19, Campus"
231834,studerande,K,"student, 22, Campus"
231842,studerande,K,"student, 19, Öster"
215353,studerande,K,"Student, Campus"
215357,studerande,K,"Student, Campus"
215359,studerande,K,"Student, Campus"
335615,studerande,K,"Student, Väster"
46032,studerande,K,"19 år, Student, Väster"
46320,studerande,K,"21 år, Student, Teleborg"
361281,studerande,K,"18 år, Student, Alby"
328916,studerande,K,Student
60731,studerande,K,"student, Trekanten"
60731,studerande,K,"student, Trekanten"
60738,studerande,K,"student, Berga"
60738,studerande,K,"student, Berga"
368396,studerande,K,Student
368396,studerande,K,Student
329803,studerande,K,"student, Kråksmåla"
60999,studerande,K,"student, Nybro"
215990,studerande,K,"25, student, Trossö"
215990,studerande,K,"25, student, Trossö"
215990,studerande,K,"25, student, Trossö"
301717,studerande,K,"Student, Karlskrona"
301717,studerande,K,"Student, Karlskrona"
301717,studerande,K,"Student, Karlskrona"
39313,studerande,K,"20, Student"
31850,studerande,K,"26, student, Höllviken"
63263,studerande,K,"Student, Örkelljunga"
57231,studerande,K,"21 år, student, Lomma"
31858,studerande,K,"20, student, Bara"
60507,studerande,K,"18 år, student, Skivarp"
125388,studerande,K,Student
31700,studerande,K,"19 år, Student, Sjöbo"
31700,studerande,K,"19 år, Student, Sjöbo"
45527,studerande,K,"Student, Höör, 23"
31965,studerande,K,"22 år, Student, Höör"
127611,studerande,K,"23 år, Student, Åstorp"
31812,studerande,K,"20 år, Student, Hyllie"
31812,studerande,K,"20 år, Student, Hyllie"
186253,studerande,K,"student, 26 år"
186253,studerande,K,"student, 26 år"
186279,studerande,K,"student, 24 år"
186279,studerande,K,"student, 24 år"
154033,studerande,K,Student
154036,studerande,K,Student
154038,studerande,K,Student
154062,studerande,K,Student
429759,studerande,K,Student
154065,studerande,K,Student
50419,studerande,K,"21, Student, Lund"
37076,studerande,K,"25, Student, Lund"
31799,studerande,K,"21 år, Student, Lund"
59441,studerande,K,"21 år, Student, Lund"
31829,studerande,K,"21 år, Student, Lund"
59443,studerande,K,"21 år, Student, Veberöd"
31860,studerande,K,"22 år, Student, Veberöd"
62680,studerande,K,"23 år, Student, Lund"
27781,studerande,K,"Student, Lund, 26 år"
38848,studerande,K,"Student, Lund, 28 år"
55245,studerande,K,"Student, Lund, 21 år"
55248,studerande,K,"Student, Lund, 23 år"
55252,studerande,K,"Student, Lund, 22 år"
55254,studerande,K,"Student, Lund, 20 år"
55260,studerande,K,"Student, Lund, 21 år"
55280,studerande,K,"Student, Lund, 24 år"
55286,studerande,K,"Student, Lund, 22 år"
94817,studerande,K,"24 år, student, Lund"
94859,studerande,K,"22 år, student, Lund"
94862,studerande,K,"26 år, student, Lund"
94864,studerande,K,"32 år, student, Lund"
54087,studerande,K,"26, student, Lund"
54111,studerande,K,"22, student, Lund"
127364,studerande,K,"22 år, student, Smålands"
127373,studerande,K,"26 år, student, Smålands"
110203,studerande,K,student
38891,studerande,K,"23, Student"
115802,studerande,K,"student, 19 år"
115817,studerande,K,"student, 22 år"
24418,studerande,K,Student
31691,studerande,K,"Student, Ystad"
31728,studerande,K,"Student, Snårestad"
64286,studerande,K,"Student, 21 år"
64286,studerande,K,"Student, 21 år"
163016,studerande,K,"Student, Alstad, 21 år"
163016,studerande,K,"Student, Alstad, 21 år"
17255,studerande,K,"31 år, Student, Kristianstad"
17255,studerande,K,"31 år, Student, Kristianstad"
56708,studerande,K,"20 år, student, Åhus"
56708,studerande,K,"20 år, student, Åhus"
56711,studerande,K,"19 år, student, företagre, Åhus"
56711,studerande,K,"19 år, student, företagre, Åhus"
19564,studerande,K,"29 år, Student, Tyringe"
221786,studerande,K,"19, Student, Halmstad"
119823,studerande,K,"22 år, Student"
119781,studerande,K,"23 år, Student"
119809,studerande,K,"20 år, Student"
240634,studerande,K,"23 år, Student, Fagered"
13244,studerande,K,"student, 45 år, Sibbarp"
13244,studerande,K,"student, 45 år, Sibbarp"
39889,studerande,K,"18 år, Student, Kungsbacka"
39893,studerande,K,"18 år, Student, Onsala"
167822,studerande,K,"student, Mölnlycke"
242467,studerande,K,"23år, Student"
244337,studerande,K,"22 år, Student, Öjersjö"
189947,studerande,K,"18 år, student, Spekeröd"
189948,studerande,K,"18 år, student, Spekeröd"
189949,studerande,K,"18 år, student, Stenungsund"
254962,studerande,K,"Student, Högsäter"
253919,studerande,K,"21, Student, Nödinge"
137705,studerande,K,"student, Lerum"
255030,studerande,K,"22, Student"
255120,studerande,K,"Student,Hedgärde"
255120,studerande,K,"Studerande, Hedgärde"
33820,studerande,K,Student
33823,studerande,K,Student
65384,studerande,K,"21 år, Student, Grästorp"
325933,studerande,K,"28 år, Student"
298118,studerande,K,"Student, Ström"
255429,studerande,K,"Student, Fritsla"
112436,studerande,K,"Student, 19 år"
200520,studerande,K,"25, Student"
201250,studerande,K,"21, Student"
201254,studerande,K,"25, Student"
201259,studerande,K,"18, Student"
200515,studerande,K,"23, Student"
201273,studerande,K,"36, Student"
201291,studerande,K,"19, Student"
198308,studerande,K,"30, Student, Göteborg"
202807,studerande,K,"24, Student, Västra Frölunda"
255786,studerande,K,"21, Student"
139251,studerande,K,"Student, 49 år, Rambergsstaden"
277388,studerande,K,"19, student, Lindome"
254057,studerande,K,"19, Student, Mölndal"
61336,studerande,K,"32, Student, Mölndal"
198338,studerande,K,"student, Mölndal, 25 år"
49503,studerande,K,"student, Bohusgården"
11667,studerande,K,"20 år, student, Stavre"
11667,studerande,K,"20 år, student, Stavre"
234437,studerande,K,"38 år, Student"
234437,studerande,K,"38 år, Student"
313321,studerande,K,"19 år, Student"
313321,studerande,K,"19 år, Student"
174257,studerande,K,Student
256243,studerande,K,"19, Student, Sollebrunn"
232604,studerande,K,"34 år, Student, Hässleholmen"
232604,studerande,K,"34 år, Student, Hässleholmen"
232604,studerande,K,"34 år, Student, Hässleholmen"
253890,studerande,K,"23, Student, Borås"
253890,studerande,K,"23, Student, Borås"
253890,studerande,K,"23, Student, Borås"
76034,studerande,K,"33 år, student, Norrmalm"
76034,studerande,K,"33 år, student, Norrmalm"
76034,studerande,K,"33 år, student, Norrmalm"
256354,studerande,K,"19, Student, Tvärred"
41470,studerande,K,"22 år, student, Skara"
41477,studerande,K,"18 år, student, Istrum"
253980,studerande,K,"24, Student, Skara"
9837,studerande,K,"19 år, student"
27503,studerande,K,"18 år, Student, Östra Ämtervik"
115885,studerande,K,"20, Student, Gräsmark"
115885,studerande,K,"20, Student, Gräsmark"
347066,studerande,K,"student, Kronoparken"
109304,studerande,K,"Student, Arvika"
109894,studerande,K,"Student, Arvika"
76410,studerande,K,"Student, 27 år"
124412,studerande,K,"27 år, student, Kopparberg"
224200,studerande,K,"27 år, Student"
224200,studerande,K,"27 år, Student"
57882,studerande,K,"20 år, student, City"
57882,studerande,K,"20 år, student, City"
205554,studerande,K,"23 år, student, Brickebacken"
205554,studerande,K,"23 år, student, Brickebacken"
205568,studerande,K,"27 år, student, Oxhagen"
205568,studerande,K,"27 år, student, Oxhagen"
312569,studerande,K,"Student, Baronbacken"
312569,studerande,K,"Student, Baronbacken"
250652,studerande,K,"26 år, student, väster"
250652,studerande,K,"26 år, student, väster"
250652,studerande,K,"26 år, student, väster"
250652,studerande,K,"26 år, student, väster"
118884,studerande,K,"19 år,Student"
118900,studerande,K,"18 år,Student"
28872,studerande,K,"18 år, student"
29079,studerande,K,"19 år, Student"
291857,studerande,K,"47, student, Hallstahammar"
291858,studerande,K,"31, student, Hallstahammar"
6181,studerande,K,"23 år, Student"
213844,studerande,K,"18 år, Student, Björksta"
6191,studerande,K,"27 år, Student"
30235,studerande,K,"23 år, Student"
28855,studerande,K,"19 år, Student"
28626,studerande,K,"23 år, Student"
291052,studerande,K,student
292357,studerande,K,"19 år, Student"
217293,studerande,K,"19 år, Student, Yttermalung"
190173,studerande,K,"Student, Bojsenburg"
36448,studerande,K,"22 år, student, Centrum"
232050,studerande,K,"18 år, student"
232052,studerande,K,"28 år, student"
33537,studerande,K,"24 år, Student, Jakobsgårdarna"
94334,studerande,K,"18 år, Student, Åselby"
124268,studerande,K,"22, student"
70967,studerande,K,"18 år, Student, Ockelbo"
79002,studerande,K,"Student, Gävle, 22 år"
14264,studerande,K,"student, 25 år, Gävle"
26716,studerande,K,"student, 24 år, Gävle"
22323,studerande,K,"Student, Sandarne"
22327,studerande,K,"Student, Söderhamn"
14261,studerande,K,"Student, 27, Trönödal"
340338,studerande,K,"Student, 28, Söderhamn"
27084,studerande,K,"37 år, student, Bollnäs"
27085,studerande,K,"34 år, student, Bollnäs"
323361,studerande,K,"19 år, student, Hudiksvall"
268935,studerande,K,"19 år, Student, Älandsbro"
50007,studerande,K,"24, Student, Sundsvall"
50007,studerande,K,"24, Student, Sundsvall"
20912,studerande,K,"30, Student, Sundsvall"
20912,studerande,K,"30, Student, Sundsvall"
208881,studerande,K,"student, Mörsil"
175340,studerande,K,"18, Student"
385920,studerande,K,"18, Student"
385921,studerande,K,"20, Student"
385926,studerande,K,"19, Student"
253320,studerande,K,"18 år, Student, Ocke"
300769,studerande,K,"30 år, Student, Mariehem"
300769,studerande,K,"30 år, Student, Mariehem"
300778,studerande,K,"30 år, Student, Nydalahöjd"
300778,studerande,K,"30 år, Student, Nydalahöjd"
300807,studerande,K,"28 år, Student, Öbacka"
300807,studerande,K,"28 år, Student, Öbacka"
300813,studerande,K,"21 år, Student, Carlshem"
300813,studerande,K,"21 år, Student, Carlshem"
302435,studerande,K,"18 år, Student, Teg"
302435,studerande,K,"18 år, Student, Teg"
302451,studerande,K,"27 år, Student, Nydalahöjd"
302451,studerande,K,"27 år, Student, Nydalahöjd"
302477,studerande,K,"24 år, Student, Nydalahöjd"
302477,studerande,K,"24 år, Student, Nydalahöjd"
363016,studerande,K,"26 år, Student"
363016,studerande,K,"26 år, Student"
363024,studerande,K,"23 år, Student"
363024,studerande,K,"23 år, Student"
196001,studerande,K,"26 år, Student, Lycksele"
47379,studerande,K,"29 år, Student, Centrum"
47379,studerande,K,"29 år, Student, Centrum"
343198,studerande,K,"35 år, Student, Mjölkudden"
343199,studerande,K,"19 år, Student, Luleå"
